channel,N,V0,K,n,RMSE_V,R2
A,105,2.600319294289444,-4.840787476733002e-05,1.0998848592688921,0.02152139690769023,0.006679595049157827
B,105,2.56819319269647,-4.132995224110058e-05,1.0915135616153955,0.01838265588631613,0.005799282133638783
C,105,2.597231935273712,3.4031637018464855e-09,2.33481517430553,0.023871279923699043,0.0005948290104947906
D,105,2.624025086313931,3.6097236465551163e-07,2.169878110608965,0.028542082060741207,0.15212488212289899
